url,pos_score,neg_score,total_score,count,total_score_z,count_z,z_score
주전몽돌해변,0.646365766676463,0.03721168398870456,0.6091540826877584,200,0.18280647773616926,0.6078845477601468,0.790691025496316
야음시장,0.6307010570865813,0.02254036372734631,0.6081606933592351,200,0.17162882139548408,0.6078845477601468,0.7795133691556309
우정시장,0.6824327837802482,0.03462279143739828,0.64780999234285,183,0.6177643147641515,0.12983360911806296,0.7475979238822145
장생포고래박물관,0.6323626032844186,0.028564184201740624,0.603798419082678,200,0.12254433726915674,0.6078845477601468,0.7304288850293035
울산옹기박물관,0.6110696659175284,0.013711732319563824,0.5973579335979646,200,0.05007573775006503,0.6078845477601468,0.6579602855102118
방어진활어센터,0.6099776511243727,0.030039548816446125,0.5799381023079266,200,-0.14593289862435532,0.6078845477601468,0.46195164913579145
호계시장,0.6614185756050228,0.018716084118681704,0.6427024914863411,166,0.5602945114407399,-0.34821732952402085,0.2120771819167191
신불산폭포자연휴양림,0.5756383154051834,0.04234427934737012,0.5332940360578133,200,-0.6707737922253916,0.6078845477601468,-0.0628892444652448
학성공원,0.5581751477470971,0.028533893227642694,0.5296412545194543,200,-0.7118750357671049,0.6078845477601468,-0.10399048800695809
등억온천지구,0.5589910010420135,0.03899648554168622,0.5199945155003273,200,-0.8204205279200821,0.6078845477601468,-0.21253598015993536
문수야구장,0.5560097014769935,0.0380365980515092,0.5179731034254842,200,-0.8431655371996705,0.6078845477601468,-0.2352809894395237
태화강전망대,0.5926617949281353,0.02820210089321578,0.5644596940349196,180,-0.32009656578763496,0.04547167876945994,-0.274624887018175
고래생태체험관,0.6734588438746869,0.028499266680538614,0.6449595771941482,138,0.585691329837051,-1.1355953461109825,-0.5499040162739315
주전항,0.5182044708098854,0.0428117435929124,0.475392727216973,200,-1.3222816283935643,0.6078845477601468,-0.7143970806334176
일산해수욕장,0.6816668263677639,0.026395841426579865,0.6552709849411841,127,0.7017157010232961,-1.4449224240558602,-0.7432067230325642
선바위,0.6485872287262464,0.03161709035608025,0.6169701383701661,137,0.27075304797714533,-1.1637159895605167,-0.8929629415833713
울산암각화박물관,0.4678726187249413,0.01652982118918832,0.4513427975357529,200,-1.5928923962723829,0.6078845477601468,-0.9850078485122361
대왕암공원,0.6711965707992203,0.02584198487190588,0.6453545859273144,119,0.5901359838554958,-1.6698875716521349,-1.079751587796639
백양사,0.622699470295338,0.023437624541867992,0.59926184575347,134,0.07149863325139516,-1.2480779199091199,-1.1765792866577247
울산대공원,0.6665143188042566,0.02301240123820268,0.643501917566054,109,0.5692896855706004,-1.9510940061474782,-1.3818043205768777
약사동제방유적전시관,0.42766949095370155,0.035403784073961386,0.39226570687974016,200,-2.2576301763147875,0.6078845477601468,-1.6497456285546406
전하시장,0.4197981469741494,0.02916508725761356,0.39063305971653584,200,-2.2760007873047603,0.6078845477601468,-1.6681162395446134
정토사,0.5241047146604924,0.030688829976120276,0.4934158846843721,158,-1.1194843418109663,-0.5731824771202956,-1.692666818931262
솔개해수욕장,0.6839197345264256,0.02760230105527929,0.6563174334711463,83,0.7134903816145611,-2.682230735835371,-1.96874035422081
